Category,Question,Answer,,
CULTURE,Which is a major traditional festival in Bangladesh?,Pahela Baishakh,,
CULTURE,What is the national instrument of Bangladesh?,Ektara,,
CULTURE,Which dance form is traditional to Bangladesh?,Jatra,,
CULTURE,What does the festival Nabanna celebrate?,New rice harvest,,
CULTURE,What is the name of the folk singer famous for Baul music?,Lalon Shah,,
CULTURE,Which region is famous for Nakshi Kantha embroidery?,Rajshahi,,
ECONOMY,What is the term for community-based rural banking in Bangladesh?,Microfinance,,
ECONOMY,What is the currency of Bangladesh?,Taka,,
ECONOMY,What is Bangladesh's largest export industry?,Ready-made garments,,
ECONOMY,Who is known as the pioneer of microfinance in Bangladesh?,Muhammad Yunus,,
ECONOMY,When did Bangladesh become a lower-middle-income country?,2015,,
ECONOMY,What does GDP stand for?,Gross Domestic Product,,
ECONOMY,Which river is important for jute cultivation?,Ganges,,
ECONOMY,What is the name of Bangladesh's stock exchange?,Dhaka Stock Exchange,,
ECONOMY,Which product is considered Bangladesh's 'golden fiber'?,Jute,,
ECONOMY,What economic zone is being developed near Chittagong?,Mirsarai Economic Zone,,
ECONOMY,Which country is the largest investor in Bangladesh (as of 2023)?,China,,
GEOGRAPHY,Which is the largest mangrove forest in the world?,Sundarbans,, 
GEOGRAPHY,Which endangered animal is found in Sundarbans?,Royal Bengal Tiger,,
GEOGRAPHY,What is the main cause of flooding in Bangladesh?,Monsoon rains and river overflow,,
GEOGRAPHY,What natural disaster is common in Bangladesh?,Cyclones,,
GEOGRAPHY,Which delta is Bangladesh part of?,Ganges-Brahmaputra Delta,,
GEOGRAPHY,What environmental issue affects Dhaka most?,Air pollution,,
GEOGRAPHY,What project is aimed at tackling coastal erosion?,Blue Gold Project,,
GEOGRAPHY,Which organization monitors cyclones in Bangladesh?,Bangladesh Meteorological Department,,
GEOGRAPHY,When did Cyclone Sidr hit Bangladesh?,2007,,
GK,What is the official name of Bangladesh?,The People's Republic of Bangladesh,,
GK,What type of government does Bangladesh have?,Parliamentary democracy,,
GK,Who is the current President of Bangladesh?,Mohammed Shahabuddin,,
GK,Who is the current Prime Minister of Bangladesh?,Sheikh Hasina,,
GK,What is the name of the parliament of Bangladesh?,Jatiya Sangsad,,
GK,How many parliamentary seats are there in Bangladesh?,350,,
GK,What is the voting age in Bangladesh?,18 years,,
GK,When did Bangladesh achieve independence?,26th March 1971,,
GK,Who was the first president of Bangladesh?,Sheikh Mujibur Rahman,,
GK,Who led the liberation war of Bangladesh in 1971?,Sheikh Mujibur Rahman,,
GK,What is the significance of March 26th in Bangladesh?,Independence Day of Bangladesh,,
GK,What is the significance of December 16th in Bangladesh?,Victory Day of Bangladesh,,
GK,What are the major political parties in Bangladesh?,Bangladesh Awami League and Bangladesh Nationalist Party,,
GK,What is the role of the President in Bangladesh?,The President is the head of state and performs ceremonial duties.,,
GK,What is the role of the Prime Minister in Bangladesh?,The Prime Minister is the head of government and holds executive power.,,
GK,How are members of parliament elected in Bangladesh?,Through a general election based on universal adult suffrage.,,
GK,What is the judicial system like in Bangladesh?,The judiciary is independent  with a Supreme Court at the apex.,,
GK,What are the fundamental rights guaranteed by the Bangladesh constitution?,Rights such as freedom of speech  assembly and religion are guaranteed.,,
GK,Who was the first President of Bangladesh?,Sheikh Mujibur Rahman,,
GK,When was the first constitution of Bangladesh adopted?,1972,,
GK,What form of government did the 1972 Constitution establish?,Parliamentary democracy,,
GK,Who became President after Sheikh Mujibur Rahman?,Khandaker Mushtaque Ahmed,,
GK,Who led the pro-democracy movement in 1990?,Khaleda Zia and Sheikh Hasina,,
GK,What year did Bangladesh return to democracy?,1991,,
GK,Who was the first female Prime Minister of Bangladesh?,Khaleda Zia,,
GK,When was the caretaker government system introduced?,1996,,
GK,When was the Chittagong Hill Tracts Peace Accord signed?,1997,,
GK,Who has been Prime Minister of Bangladesh since 2009?,Sheikh Hasina,,
GK,What was the Padma Bridge scandal about?,Alleged corruption in a major infrastructure project,,
GK,When did the war crimes tribunal begin?,2010,,
GK,What is the Digital Security Act?,A law introduced in 2018 to regulate online content,,
GK,When was the Padma Bridge inaugurated?,2022,,
GK,What international crisis affected Bangladesh's economy in 2022?,Global inflation and fuel price hikes,,
GK,What protest movement emerged in 2023?,Anti-government rallies led by opposition,,
GK,Who won the national elections in early 2024?,Awami League,,
GK,When did Sheikh Hasina resign amid unrest?,Mar-24,,
GK,What major climate event hit Bangladesh in 2025?,Cyclone Hamim caused major flooding in coastal regions,,
GK,When did Bangladesh gain independence?,1971,,
GK,Who was the founding father of Bangladesh?,Sheikh Mujibur Rahman,,
GK,When was the first general election held in Bangladesh?,1973,,
GK,What year did Sheikh Mujibur Rahman become Prime Minister?,1972,,
GK,Which political party was formed by Ziaur Rahman?,Bangladesh Nationalist Party (BNP),,
GK,When did Bangladesh adopt its constitution?,1972,,
GK,Who was the first female Prime Minister of Bangladesh?,Khaleda Zia,,
GK,What is the name of the political alliance led by Awami League?,Grand Alliance,,
GK,When was the caretaker government system abolished?,2011,,
GK,What is the name of the current Prime Minister of Bangladesh (2025)?,Sheikh Hasina,,
GK,When was International Mother Language Day declared by UNESCO?,1999,,
GK,What is the literacy rate in Bangladesh as of 2023?,Approximately 76%,,
GK,Which social reformer is known for founding BRAC?,Fazle Hasan Abed,,
GK,Which organization pioneered microcredit in Bangladesh?,Grameen Bank,,
GK,What is a major social issue faced in rural Bangladesh?,Child marriage,,
GK,What does the program 'Ashrayan' aim to do?,Provide housing for the homeless,,
GK,What percentage of Bangladesh's population is under 25?,Over 45%,,
GK,Which ethnic minority resides in the Chittagong Hill Tracts?,Chakma,,
GK,What is the national language of Bangladesh?,Bengali,,
GK,Which Bengali poet won the Nobel Prize in Literature?,Rabindranath Tagore,,
GK,Which day is celebrated as Pohela Falgun?,First day of spring in Bengali calendar,,
GK,What is the name of Bangladesh's first solar village?,Char Montaz,,
